Nom du commerce;Adresse;Code postal;Type de commerce;Services;Description;Précisions;Site internet;Téléphone;Mail;geo_shape;geo_point_2d
Hecosfair;5 avenue Ingres;75016;Épicerie fine;Livraisons à domicile;Épicerie fine bio équitable et respectueuse de la cause animale;;https://hecosfair.com/fr/;07 69 14 43 65;contact@hecosfair.com;"{""type"": ""Point"", ""coordinates"": [2.265294578903462, 48.85692286125052]}";48.8569228613,2.2652945789
Pasta Luna;15 rue de Mézières;75006;Restaurant ou traiteur;Livraisons à domicile;;;;01 45 44 32 02;;"{""type"": ""Point"", ""coordinates"": [2.330211500796252, 48.85020591993278]}";48.8502059199,2.3302115008
Pharmacie centrale de La Chapelle;5 rue de La Chapelle;75018;Pharmacies et parapharmacies;Livraisons à domicile;;;https://centrale-la-chapelle.aprium-pharmacie.fr/aprium-express/mode-livraison;01 46 07 14 84;Pcchapelle@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.35968049987894, 48.890762126753536]}";48.8907621268,2.35968049988
Pharmacie Paris;29 rue Eugène jumin;75019;Pharmacies et parapharmacies;Livraisons à domicile;Du lundi au dimanche inclus;;https://pharmacie-paris-lavillette.fr;01 44 84 70 98;;"{""type"": ""Point"", ""coordinates"": [2.392020706077711, 48.88805175438458]}";48.8880517544,2.39202070608
Chanoux;10 Rue de l'Olive;75018;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;;;;01 40 36 53 86;;"{""type"": ""Point"", ""coordinates"": [2.361347343796751, 48.89093994006471]}";48.8909399401,2.3613473438
Thomas Yang;87 boulevard de Magenta;75010;Primeur;Livraisons à domicile;;;;07 60 73 56 27;;"{""type"": ""Point"", ""coordinates"": [2.354758785101435, 48.877454684903974]}";48.8774546849,2.3547587851
Jessica Maury;89 boulevard de Magenta;75010;Poissonnerie;Livraisons à domicile;;;;06 62 91 28 81;;"{""type"": ""Point"", ""coordinates"": [2.3546240399627623, 48.877605173465085]}";48.8776051735,2.35462403996
Les Vergers Primeurs;48 Rue Saint-Honoré;75001;Primeur;Livraisons à domicile;Bio, Fruits;;https://www.epicery.com/epiceries/verger-primeur-saint-honore;+33 6 24 07 46 42;abdel.krouna@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.344223602868087, 48.86123212192946]}";48.8612321219,2.34422360287
Vinosfera;11 rue François Miron;75004;Caviste - Brasserie;Livraisons à domicile;Vins;;https://www.epicery.com/epiceries/vinosfera;+33 6 07 54 16 63;contact@vinosfera.fr;"{""type"": ""Point"", ""coordinates"": [2.356802638953265, 48.855820779442666]}";48.8558207794,2.35680263895
Boucherie Saint-Jacques;348 Rue Saint-Jacques;75005;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Charcuterie, Poulet rôti;;https://www.epicery.com/epiceries/boucherie-saint-jacques;+33 6 98 21 12 18;pratsjonathan75@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.33979046806908, 48.839191026741254]}";48.8391910267,2.33979046807
Boucherie Saint-Médard;119 Rue Mouffetard;75005;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Charcuterie, Poulet rôti;;https://www.epicery.com/epiceries/boucherie-saint-medard;+33 6 80 69 62 14;pascalgosnet94@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.3497988087043122, 48.84033457798594]}";48.840334578,2.3497988087
Traiteur Italien PastaVino Buci;18 rue de Buci;75006;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Charcuterie, Epicerie;;https://www.epicery.com/epiceries/pastavino;+33 6 88 84 63 53;alex.degli@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.336859843921355, 48.85390074212945]}";48.8539007421,2.33685984392
Rôtisserie Dufrénoy Rochechouart;39 rue de Rochechouart;75009;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Poulet rôti;;https://www.epicery.com/epiceries/rotisserie-dufrenoy-rue-rochechouart;+33 6 14 25 12 12;a.girault@thinkeat.fr;"{""type"": ""Point"", ""coordinates"": [2.345091083215971, 48.87860677982305]}";48.8786067798,2.34509108322
Fromagerie Taka & Vermo Artisans;61 rue du Faubourg Saint-Denis;75010;Fromagerie;Livraisons à domicile;Fromage;;https://www.epicery.com/epiceries/taka-vermo-artisans-fromagers;+33 6 81 91 16 48;takavermo@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.353870449261874, 48.87210605107065]}";48.8721060511,2.35387044926
La Délicieuse Cacher Voltaire;234 Boulevard Voltaire;75011;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Boulangerie - pâtisserie, Cacher;;https://www.epicery.com/epiceries/la-delicieuse-voltaire;01 40 24 26 26;compta.ladelicieuse@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.389808738066674, 48.851833229874785]}";48.8518332299,2.38980873807
Le Raisin Bleu Chaligny;7 rue Chaligny;75012;Caviste - Brasserie;Livraisons à domicile;Champagnes;;https://www.epicery.com/epiceries/le-raisin-bleu-chaligny;+33 6 07 52 52 64;raisinbleuparis@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.383354112532227, 48.84559478264158]}";48.8455947826,2.38335411253
Le Raisin Bleu Tolbiac;225 rue de Tolbiac;75013;Caviste - Brasserie;Livraisons à domicile;Champagnes;;https://www.epicery.com/epiceries/le-raisin-bleu-tolbiac;+33 6 07 52 53 64;raisinbleuparis@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.345597463657199, 48.82577605632897]}";48.8257760563,2.34559746366
Primeur Royal;59 Rue Raymond Losserand;75014;Primeur;Livraisons à domicile;Bio, Fruits;;https://www.epicery.com/epiceries/primeur-royal;+33 7 55 67 15 59;ismail.benthayer@neuf.fr;"{""type"": ""Point"", ""coordinates"": [2.319334349028356, 48.83451028049095]}";48.8345102805,2.31933434903
Le Panier de la Convention;88 Rue de la Convention;75015;Primeur;Livraisons à domicile;Bio, Fromage;;https://www.epicery.com/epiceries/le-panier-de-la-convention;+33 6 95 58 70 22;jamal28100@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.285828910266281, 48.841925890600926]}";48.8419258906,2.28582891027
Boucherie Cacher Jerry Levy;19 rue Fourcroy;75017;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Cacher;;https://www.epicery.com/epiceries/jerry-levy;01.44.40.07.26;levyjerry@boucherielevy.fr;"{""type"": ""Point"", ""coordinates"": [2.29722666354674, 48.88083210015504]}";48.8808321002,2.29722666355
Foucade Batignolles;24 rue des Moines;75017;Boulangerie - pâtisserie;Livraisons à domicile;Boulangerie - pâtisserie;;https://www.epicery.com/epiceries/foucade-batignolles;09 87 76 76 17;adm@foucadeparis.com,manonf@foucadeparis.com;"{""type"": ""Point"", ""coordinates"": [2.319198550995567, 48.88851851473834]}";48.8885185147,2.319198551
Fromagerie Chambi;81 Avenue de Saint-Ouen;75017;Fromagerie;Livraisons à domicile;Charcuterie, Fromage;;https://www.epicery.com/epiceries/fromagerie-chambi;+33 6 49 75 40 10;leautey@aol.com;"{""type"": ""Point"", ""coordinates"": [2.32732649734859, 48.893210153349344]}";48.8932101533,2.32732649735
Le Verger des Batignolles;96 rue lemercier;75017;Primeur;Livraisons à domicile;Bio;;https://www.epicery.com/epiceries/verger-batignolles;+33 6 61 99 19 36;akaichinejib@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.3192731950332, 48.88929676791455]}";48.8892967679,2.31927319503
Primeur Ethique ruisseau bio;53 Rue du Poteau;75018;Primeur;Livraisons à domicile;Bio, Fruits;;https://www.epicery.com/epiceries/primeur-ethique-ruisseau-bio;+33 6 62 53 15 91;dewageneer.gregory@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.340512693977458, 48.89490596563902]}";48.8949059656,2.34051269398
Primeur Manin;22 rue Manin;75019;Primeur;Livraisons à domicile;Bio;;https://www.epicery.com/epiceries/primeur-manin;+33 6 46 57 26 37,+33 6 95 25 23 87;adelferass@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.387566874162284, 48.88309014990071]}";48.8830901499,2.38756687416
Halles Gambetta;216 Rue des Pyrénées;75020;Primeur;Livraisons à domicile;Fruits, Légumes;;https://www.epicery.com/epiceries/halles-gambetta;+33 6 24 07 46 42;abdel.krouna@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.397829513237256, 48.86594635086132]}";48.8659463509,2.39782951324
Boucherie du Marché;5 place d'Aligre;75002;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;;;https://www.epicery.com/epiceries/boucherie-du-marche;+33 6 42 39 96 85;fluc93360@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.377391805004646, 48.84821590721308]}";48.8482159072,2.377391805
Dalloyau Raspail;63 Rue de Grenelle;75007;Boulangerie - pâtisserie;Livraisons à domicile;Pâtisseries;;https://www.epicery.com/epiceries/dalloyau-raspail;01 45 49 95 30;olivier.allix@dalloyau.fr;"{""type"": ""Point"", ""coordinates"": [2.324794265159621, 48.854844925129086]}";48.8548449251,2.32479426516
Poissonnerie G.Ledreux;67 Avenue du Général Leclerc;75014;Poissonnerie;Livraisons à domicile;Plateaux de fruits de mer;;https://www.epicery.com/epiceries/poissonnerie-g-ledreux;+33 6 77 74 58 23;poissonnerie.g.lorenzo@hotmail.com;"{""type"": ""Point"", ""coordinates"": [2.327875962442254, 48.82867149099195]}";48.828671491,2.32787596244
Boucherie Marguerite;4 Rue de Lourmel;75015;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Charcuterie;;https://www.epicery.com/epiceries/boucherie-marguerite;+33 6 89 87 78 09;alain.grandiere@wanadoo.fr;"{""type"": ""Point"", ""coordinates"": [2.292031762285313, 48.850400148289346]}";48.8504001483,2.29203176229
Poilâne® Grenelle;49 Boulevard de Grenelle;75015;Boulangerie - pâtisserie;Livraisons à domicile;Boulangerie - pâtisserie;;https://www.epicery.com/epiceries/poilane-grenelle;01 44 39 26 68;cvaidy@poilane.fr;"{""type"": ""Point"", ""coordinates"": [2.291973078879894, 48.85164290489379]}";48.8516429049,2.29197307888
La Marocaine de Paris;71 rue Caumartin;75009;Restaurant ou traiteur;Livraisons à domicile;Gastronomie marocaine;;;06 18 35 08 76;lamarocainedeparis@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.328404281297661, 48.87534767054459]}";48.8753476705,2.3284042813
Le Temple du Fruit;36, rue du Temple;75004;Primeur;Livraisons à domicile;Primeur, épicerie fine, Fromages, jus d'orange frais... ouvert 7j/7j.;;;01 72 34 82 67;fifou75003@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.35430846315854, 48.859640233690996]}";48.8596402337,2.35430846316
1000 & 1 Signes;76 rue de Charonne;75011;Restaurant ou traiteur;Livraisons à domicile;"Couscous 
à emporter (venir chercher sur place)
Livraison (delivroo / UberEats)";;https://www.1000et1signes.com/;06 83 99 73 11;contact@1000et1signes.com;"{""type"": ""Point"", ""coordinates"": [2.380170002665755, 48.853472532259794]}";48.8534725323,2.38017000267
Huitrerie Régis;3 rue Montfaucon;75006;Restaurant ou traiteur;Livraisons à domicile;En partenariat avec un fromager nous livrons aussi une sélections de fromages et de vins;;http://huitrerie-regis.com/;;contact@huitrerie-regis.com;"{""type"": ""Point"", ""coordinates"": [2.335944876811093, 48.85281345553998]}";48.8528134555,2.33594487681
A BOUT DE FIL;14 rue michel Chasles;75012;Bricolage;Livraisons à domicile;Bricolage de mercerie !;;;06 83 36 35 72;mfvuillier@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.374001827452962, 48.84744914593626]}";48.8474491459,2.37400182745
Nous4 restaurant;3 rue Beccaria;75012;Restaurant ou traiteur;Retrait de commandes en magasin;Restaurant bistronomique, nous proposons des plats de saison ainsi que des plats mijotés sous vide pour garder toutes les saveurs à la maison ! Click & Collect possible.;;https://www.nous4restaurant.com;06 06 70 64 92;Nous4.paris@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.379096274908961, 48.846883152470014]}";48.8468831525,2.37909627491
l'atelier de pablo;34 rue d'hauteville;75010;Autre;Retrait de commandes en magasin;;;https://www.latelierdepabloparis.com;06 63 29 40 58;latelierdepablo@yahoo.fr;"{""type"": ""Point"", ""coordinates"": [2.35040178120768, 48.873121666397935]}";48.8731216664,2.35040178121
LE DRAGON SAVANT;36 - 42 Rue de la Villette;75019;Librairie;Retrait de commandes en magasin;Le Dragon savant est une librairie spécialisée jeunesse, nous proposons également des jouets d'éveil , des peluches ,  des jeux de construction , des jeux de société ...;;http://parislibrairie.fr;01 42 45 75 30;commandesdragon@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.387880494046733, 48.87669607227714]}";48.8766960723,2.38788049405
Chez Pippo;31 avenue de la Bourdonnais;75007;Restaurant ou traiteur;Retrait de commandes en magasin;;;http://www.chezpippo.com;01 73 70 54 50;chezpippo31@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.298530950004205, 48.85885021001329]}";48.85885021,2.29853095
Le Petit Gourmand;56 rue Letort;75018;Restaurant ou traiteur;Retrait de commandes en magasin;Direct producteur;;http://www.facebook.com/Le-Petit-Gourmand-325790831568398;01 77 32 71 51;lepetitgourmand18@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.344047518528941, 48.896900979630935]}";48.8969009796,2.34404751853
Ponzu;101 rue lauriston;75016;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Sushi , poke bowl , bao burger , soupe , domburi , noodle , gyoza , nems;;http://www.ponzu.fr;01 45 05 40 40;raphaelzerbib@hotmail.com;"{""type"": ""Point"", ""coordinates"": [2.2876560410096562, 48.86699437600918]}";48.866994376,2.28765604101
Njutbar;22 rue de la Banque;75002;Restaurant ou traiteur;Retrait de commandes en magasin;Sept plats du jour à 13€90. Boissons offertes. Ouvert de 8h00 à 14h30.;;;06 25 23 30 29;brunotruel@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.341235392463234, 48.86827406740705]}";48.8682740674,2.34123539246
Atelier Garcin Joubert;244 rue de Charenton;75012;Autre;Livraisons à domicile;"Fabrication d'articles en cuir. Sur mesure, sur commande, et créations. Pièces uniques et petites séries
Principalement couture main";;http://www.ateliergarcinjoubert.com;06 74 15 97 37;contact@ateliergarcinjoubert.com;"{""type"": ""Point"", ""coordinates"": [2.390024522503425, 48.838162491289324]}";48.8381624913,2.3900245225
Sarl Café Constant;139 rue Saint Dominique;75007;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Café Constant: Nous vous proposons un menu unique à emporter au prix de 25€ entrée, plat et dessert qui changeront tous les jours, ainsi que nos plats à la carte. Tous nos plats sont fait maison.;;http://www.cafe-constant.com;01 47 53 73 34;cafeconstant@maisonconstant.com;"{""type"": ""Point"", ""coordinates"": [2.301617752948364, 48.85811381763775]}";48.8581138176,2.30161775295
Atelier AOFLO - Obag';32 rue Rébeval;75019;Autre;Livraisons à domicile, Retrait de commandes en magasin;Venez découvrir à l'atelier AOFLO  toutes nos créations imaginées et fabriquées sur place ainsi qu'une sélection de produits artisanaux du quartier (bières, savons, bijoux, bouillotte sèche, gourdes);;http://www.obag.fr;09 52 89 81 40;contact@obag.fr;"{""type"": ""Point"", ""coordinates"": [2.378055432185715, 48.874303153995406]}";48.874303154,2.37805543219
Villamedici;11 rue Saint-Placide;75006;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Au cœur de Paris, entre le Bon Marché et Montparnasse, nous vous proposons une cuisine italienne à base d’ingrédients frais, livrés d’Italie chaque semaine.;;https://www.restaurant-villa-medici.com;01 42 22 51 96;Villamedici@outlook.fr;"{""type"": ""Point"", ""coordinates"": [2.325003041738608, 48.849533730589]}";48.8495337306,2.32500304174
Substance Café;30 rue Dussoubs;75002;Alimentation générale et produits de première nécessité;Retrait de commandes en magasin;Nous proposons à la vente du café de spécialité torréfié sur place en grains et des accessoires pour faire du café (moulin, filtres, etc.);;https://www.substancecafe.com;;contact@substancecafe.com;"{""type"": ""Point"", ""coordinates"": [2.349172473761528, 48.86625871477806]}";48.8662587148,2.34917247376
Pasta e Basta;103-105 rue de Tolbiac;75013;Restaurant ou traiteur;Retrait de commandes en magasin;Restaurant italien familial vous propose des plats cuisinés, des pizzas, charcuteries fines transalpines, vins et autres fantaisies du chef du lundi au vendredi de 11h30 à 18h en continu.;;https://www.pastaetbasta.fe;01 44 24 54 84;Info@pastaetbasta.fr;"{""type"": ""Point"", ""coordinates"": [2.3646994149169442, 48.82661227623143]}";48.8266122762,2.36469941492
A TRIANON;6 RUE DE CHALIGNY;75012;Chocolaterie - Pâtisserie;Livraisons à domicile, Retrait de commandes en magasin;A TRIANON est une maison de qualité fondée en 1962. Chocolat artisanal, macarons et autres gourmandises sucrées sont fabriqués par de petits artisans français.;chocolaterie confiserie cadeaux;https://www.atrianon.com;01 43 44 48 80;contact@atrianon.com;"{""type"": ""Point"", ""coordinates"": [2.3836505431054302, 48.84542109110826]}";48.8454210911,2.38365054311
Boucherie Bourdin;129 rue Caulaincourt;75018;Boucherie - charcuterie - rôtisserie;Livraisons à domicile;Installé à Montmartre depuis 2005 (dans Paris depuis 1992), la Boucherie Bourdin et son équipe vous proposent leurs viandes de qualité issues des meilleurs élevages Français sélectionnées et affinées;;https://www.boucheriebourdin.fr;01 46 06 17 90;philippe@boucheriebourdin.fr;"{""type"": ""Point"", ""coordinates"": [2.342426392614505, 48.8898715762598]}";48.8898715763,2.34242639261
Chez romain;49 rue Daguerre;75014;Boucherie - charcuterie - rôtisserie;Retrait de commandes en magasin;"Boucherie, Produit Français 
Bœuf: Parthenais 
Veau: Limousin
Porc: Bretagne Bleu Blanc Coeur 
Charcuterie, rôtisserie , foie gras, vin et champagne.";;;01 43 22 16 01;Romain.Lelandais@hotmail.fr;"{""type"": ""Point"", ""coordinates"": [2.327238293099458, 48.83476159619225]}";48.8347615962,2.3272382931
Ava and Mr joe;36 bis rue de montreuil;75011;Jouets - Jeux;Livraisons à domicile, Retrait de commandes en magasin;Jeux et jouets pour enfants de 0 à 12 ans.;Jeux - jouets;https://www.ava-and-mr-joe.fr;01 43 70 22 71;Karine@ava-and-mr-joe.fr;"{""type"": ""Point"", ""coordinates"": [2.386709757240822, 48.850385490584635]}";48.8503854906,2.38670975724
L'angle Babylone;37 rue Barbet de Jouy;75007;Restaurant ou traiteur;Retrait de commandes en magasin;Cuisine familiale 100% fait maison. Plats à emporter uniquement le midi. Retrouvez nous sur notre page Facebook.;;;01 72 38 40 42;angle.babylone@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.317232898118146, 48.85186567511992]}";48.8518656751,2.31723289812
DeliCrepe;13 rue d'Amsterdam, Gare St Lazare (face au quai n°20);75008;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Au sein de la gare Saint-Lazare, en face du quai #20, DeliCrepe propose des galettes salées et des crêpes sucrées artisanales, en vente à emporter, à retirer en magasin ou livré à domicile;Crêperie;https://www.instagram.com/delicrepemaison/;06 45 35 73 70;nicolas.cantau@delicrepe.com;"{""type"": ""Point"", ""coordinates"": [2.326799806020192, 48.87664231396888]}";48.876642314,2.32679980602
L'Angolo Arte & Cucina;48, rue des Abbesses;75018;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Traiteur italien , Pizza, épicerie fine;;https://www.deliveroo.fr;09 52 57 71 11;angoloartecucina@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.336054676146603, 48.88553127269578]}";48.8855312727,2.33605467615
Christian Constant;40 rue des Ecoles;75005;Chocolaterie - Pâtisserie;Livraisons à domicile, Retrait de commandes en magasin;Grands crus de chocolat .Préparations du chocolat sous vos yeux;Patissier chocolatier traiteur;;01 53 63 15 15;christianconstant@orange.fr;"{""type"": ""Point"", ""coordinates"": [2.346317041572487, 48.849311715074506]}";48.8493117151,2.34631704157
Noisette;4 rue Crozatier;75012;Restaurant ou traiteur;Retrait de commandes en magasin;Petit restaurant de quartier proposant une carte carte de produits de petits producteurs, des fruits et des légumes bio ou issus de l’agriculture paysanne, uniquement de saison et bien travaillés.;;https://www.restaurantnoisette.fr;01 43 46 61 45;restaurantnoisette@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.383033791817034, 48.84536777469589]}";48.8453677747,2.38303379182
pharmacie de la madeleine;5 rue chauveau lagarde;75008;Pharmacies et parapharmacies;Retrait de commandes en magasin;"envoyer vos commandes par mail ou via l'appli wellandwell connect
avene, bioderma, biotherm, caudalie, furterer, klorane, nuxe, oenobiol, roger&gallet, rocheposay, vichy";;https://www.pharmacie-madeleine.fr;01 42 65 39 75;info@pharmacie-madeleine.com;"{""type"": ""Point"", ""coordinates"": [2.3236790020573252, 48.871271590950215]}";48.871271591,2.32367900206
Recyclerie Sportive;81 boulevard Bessières;75017;Autre;Livraisons à domicile, Retrait de commandes en magasin;La Recyclerie Sportive a pour fonctions principales sont : la collecte, le tri, la co-réparation, la redistribution via des boutiques solidaires et les animations de sensibilisation.;Recyclerie spécialisée dans le domaine sportif - boutique solidaire de réemploi;http://recyclerie-sportive.org/;09 81 08 80 85;boutique@recyclerie-sportive.org;"{""type"": ""Point"", ""coordinates"": [2.319622603975036, 48.89640917940067]}";48.8964091794,2.31962260398
Librairie 7ici;48 rue de lille;75007;Librairie;Livraisons à domicile, Retrait de commandes en magasin;Librairie protestante, évangélique. Livres, CD, DVD, calendriers, objets cadeaux.;;https://www.librairie-7ici.com;01 42 61 57 77;contact@librairie-7ici.com;"{""type"": ""Point"", ""coordinates"": [2.329162076515801, 48.85874290656764]}";48.8587429066,2.32916207652
Shouk;59 rue de lancry;75010;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Méditerranéen - Pitas  -Cuisine équilibrée;;;09 87 57 87 68;shoukparis@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.362609978352062, 48.87207223691732]}";48.8720722369,2.36260997835
VIETNAM CORNER;134 bis rue Tolbiac;75013;Restaurant ou traiteur;Livraisons à domicile, Retrait de commandes en magasin;Spécialités vietnamiennes authentiques 100% maison;;"application mobile IOS ANdroid ""Vietnam Corner""";06 09 90 25 71;avenir134bis@gmail.com;"{""type"": ""Point"", ""coordinates"": [2.358114213534372, 48.826271676340156]}";48.8262716763,2.35811421353
